brand,website,niche,google_rank,indexed,sitemap,schema_count,blog_posts,ai_cited_chatgpt,ai_cited_perplexity,seo_score,geo_score,leak,found_at,day_found
SEO_Brand_1156,seobrand1156.com,Clinic,Page 3,28%,Yes but blocked,2,15,No,No,8,8,Not cited in AI,2026-09-10T09:38:08.963897,1
SEO_Brand_1536,seobrand1536.com,Clinic,Page 2,28%,No,1,14,No,No,8,10,Thin blog,2026-09-10T09:38:08.963913,1
SEO_Brand_2218,seobrand2218.com,Coach,Page 2,29%,Yes but blocked,0,8,No,No,10,7,No FAQ schema,2026-09-10T09:38:08.963918,1
SEO_Brand_2856,seobrand2856.com,D2C,Page 2,31%,Yes but blocked,1,13,No,No,10,10,Not cited in AI,2026-09-10T09:38:08.963920,1
SEO_Brand_0574,seobrand0574.com,Coach,Page 2,44%,No,2,12,No,No,10,10,Not cited in AI,2026-09-10T09:38:08.963923,1
SEO_Brand_0874,seobrand0874.com,D2C,Page 2,20%,No,2,2,No,No,6,7,Thin blog,2026-09-10T09:38:08.963925,1
SEO_Brand_1243,seobrand1243.com,Coach,Page 3,26%,No,1,9,No,No,7,10,No sitemap,2026-09-10T09:38:08.963929,1
SEO_Brand_2700,seobrand2700.com,D2C,Page 2,58%,No,2,1,No,No,10,7,No sitemap,2026-09-10T09:38:08.963932,1
SEO_Brand_1677,seobrand1677.com,D2C,Page 2,50%,No,0,6,No,No,9,8,Not cited in AI,2026-09-10T09:38:08.963934,1
SEO_Brand_1633,seobrand1633.com,Clinic,Page 3,60%,Yes but blocked,1,1,No,No,6,8,Thin blog,2026-09-10T09:38:08.963937,1
SEO_Brand_2993,seobrand2993.com,Real Estate,Page 3,58%,Yes but blocked,1,0,No,No,9,7,No sitemap,2026-09-10T09:38:08.963939,1
SEO_Brand_1815,seobrand1815.com,Real Estate,Page 2,20%,Yes but blocked,0,6,No,No,6,10,Thin blog,2026-09-10T09:38:08.963943,1
SEO_Brand_2057,seobrand2057.com,Clinic,Page 3,58%,No,2,15,No,No,7,8,Thin blog,2026-09-10T09:38:08.963946,1
SEO_Brand_2254,seobrand2254.com,Coach,Page 2,50%,Yes but blocked,1,0,No,No,8,10,No sitemap,2026-09-10T09:38:08.963948,1
SEO_Brand_1429,seobrand1429.com,Coach,Page 2,26%,No,1,10,No,No,10,9,No FAQ schema,2026-09-10T09:38:08.963951,1
SEO_Brand_1925,seobrand1925.com,D2C,Page 2,26%,No,2,14,No,No,8,10,No FAQ schema,2026-09-10T09:38:08.963953,1
SEO_Brand_1340,seobrand1340.com,Clinic,Page 2,38%,No,2,8,No,No,10,9,Thin blog,2026-09-10T09:38:08.963956,1
SEO_Brand_1691,seobrand1691.com,Clinic,Page 2,36%,Yes but blocked,0,11,No,No,10,10,No FAQ schema,2026-09-10T09:38:08.963958,1
SEO_Brand_0591,seobrand0591.com,Clinic,Page 2,27%,Yes but blocked,2,0,No,No,6,9,No FAQ schema,2026-09-10T09:38:08.963960,1
SEO_Brand_2701,seobrand2701.com,Real Estate,Page 2,47%,Yes but blocked,2,5,No,No,10,9,No sitemap,2026-09-10T09:38:08.963963,1
SEO_Brand_2244,seobrand2244.com,Coach,Page 2,48%,Yes but blocked,1,14,No,No,6,9,No FAQ schema,2026-09-10T09:38:08.963965,1
SEO_Brand_1544,seobrand1544.com,Real Estate,Page 2,26%,Yes but blocked,0,9,No,No,7,10,No FAQ schema,2026-09-10T09:38:08.963967,1
SEO_Brand_1122,seobrand1122.com,Real Estate,Page 3,33%,Yes but blocked,2,9,No,No,10,10,Not cited in AI,2026-09-10T09:38:08.963970,1
SEO_Brand_0356,seobrand0356.com,Real Estate,Page 3,50%,Yes but blocked,0,7,No,No,10,8,Thin blog,2026-09-10T09:38:08.963973,1
SEO_Brand_1435,seobrand1435.com,Real Estate,Page 2,25%,Yes but blocked,1,6,No,No,7,7,No sitemap,2026-09-10T09:38:08.963975,1
SEO_Brand_2028,seobrand2028.com,Clinic,Page 3,53%,No,1,4,No,No,10,7,Thin blog,2026-09-10T09:38:08.963977,1
SEO_Brand_2352,seobrand2352.com,D2C,Page 3,27%,No,1,6,No,No,9,7,Thin blog,2026-09-10T09:38:08.963980,1
SEO_Brand_2135,seobrand2135.com,Coach,Page 3,42%,No,1,9,No,No,10,9,No sitemap,2026-09-10T09:38:08.963982,1
SEO_Brand_1763,seobrand1763.com,Clinic,Page 3,22%,Yes but blocked,1,13,No,No,7,9,Not cited in AI,2026-09-10T09:38:08.963985,1
SEO_Brand_0387,seobrand0387.com,Clinic,Page 3,57%,Yes but blocked,2,7,No,No,8,8,No FAQ schema,2026-09-10T09:38:08.963987,1
SEO_Brand_0497,seobrand0497.com,D2C,Page 3,24%,No,2,1,No,No,6,8,No FAQ schema,2026-09-10T09:38:08.963989,1
SEO_Brand_1851,seobrand1851.com,Clinic,Page 3,31%,Yes but blocked,2,14,No,No,8,8,Thin blog,2026-09-10T09:38:08.963992,1
SEO_Brand_0877,seobrand0877.com,D2C,Page 2,24%,No,0,10,No,No,10,9,No FAQ schema,2026-09-10T09:38:08.963994,1
SEO_Brand_0695,seobrand0695.com,Clinic,Page 3,28%,No,2,13,No,No,6,10,No FAQ schema,2026-09-10T09:38:08.963997,1
SEO_Brand_0833,seobrand0833.com,Coach,Page 3,23%,No,1,11,No,No,8,10,Thin blog,2026-09-10T09:38:08.963999,1
SEO_Brand_0559,seobrand0559.com,Clinic,Page 3,58%,Yes but blocked,0,0,No,No,9,10,Not cited in AI,2026-09-10T09:38:08.964002,1
SEO_Brand_1223,seobrand1223.com,D2C,Page 2,38%,No,1,7,No,No,6,9,Not cited in AI,2026-09-10T09:38:08.964007,1
SEO_Brand_1562,seobrand1562.com,D2C,Page 3,44%,No,2,13,No,No,10,10,Not cited in AI,2026-09-10T09:38:08.964010,1
SEO_Brand_2618,seobrand2618.com,Coach,Page 3,22%,No,0,4,No,No,6,10,Not cited in AI,2026-09-10T09:38:08.964012,1
SEO_Brand_0463,seobrand0463.com,Coach,Page 2,35%,No,0,7,No,No,7,7,Thin blog,2026-09-10T09:38:08.964015,1
SEO_Brand_2611,seobrand2611.com,D2C,Page 2,23%,No,0,0,No,No,10,9,Not cited in AI,2026-09-10T09:38:08.964017,1
SEO_Brand_0003,seobrand0003.com,Real Estate,Page 2,44%,Yes but blocked,0,3,No,No,7,7,Not cited in AI,2026-09-10T09:38:08.964020,1
SEO_Brand_1378,seobrand1378.com,Clinic,Page 2,42%,No,2,8,No,No,6,10,No sitemap,2026-09-10T09:38:08.964022,1
SEO_Brand_0438,seobrand0438.com,Real Estate,Page 2,22%,No,0,1,No,No,6,10,Thin blog,2026-09-10T09:38:08.964025,1
SEO_Brand_1316,seobrand1316.com,D2C,Page 2,41%,Yes but blocked,0,6,No,No,8,7,No FAQ schema,2026-09-10T09:38:08.964030,1
SEO_Brand_0519,seobrand0519.com,Coach,Page 3,57%,No,1,0,No,No,7,7,Not cited in AI,2026-09-10T09:38:08.964032,1
SEO_Brand_2285,seobrand2285.com,Coach,Page 3,27%,No,1,2,No,No,7,9,Not cited in AI,2026-09-10T09:38:08.964035,1
SEO_Brand_1641,seobrand1641.com,Clinic,Page 2,37%,No,1,1,No,No,10,8,No FAQ schema,2026-09-10T09:38:08.964037,1
SEO_Brand_2995,seobrand2995.com,Real Estate,Page 3,49%,Yes but blocked,1,6,No,No,8,10,Not cited in AI,2026-09-10T09:38:08.964040,1
SEO_Brand_1163,seobrand1163.com,Real Estate,Page 2,32%,Yes but blocked,2,5,No,No,8,8,Thin blog,2026-09-10T09:38:08.964042,1
